Title	Location	Salary	Experience	English	Skills
Разработчик Scala 	Віддаленаробота,Росія	$700	1	Upper	Scala,Akka,Git,Linux,Functionalprogramming,PostgreSQL,Sbt,Docker,OOP,RESTAPI,JSON,Cats,Slik,Microservices,Jenkins,Java,Spring,SpringBoot,Hibernate
Python Engineer 	Віддаленаробота,Україна	$4500	5	Upper	Python,AWS,PostgreSQL,Docker,RESTAPI,Git,Django,Linux,Redis,OOP,SQL,Celery,Aiohttp,uWSGI,API,DjangoRESTFramework,RabbitMQ,JSON,Kubernetes,GoogleCloud,MySQL,MongoDB,Jira,AWSCloudFormation,AWSLambda,Helm,CI/CD,Pandas,asyncio,Pytest
Senior iOS Developer 	Віддаленаробота,Україна	$4000	10	Advanced/Fluent	Swift,iOS,Git,Xcode,MVVM,CleanArchitecture,RxSwift,CocoaPods,DependencyInjection,RESTAPI,CoreData,UIKit,Objective-C,MVC,JSON,OOP,Multithreading,Jira,GCD,CocoaTouch,Autolayout,Collection
Java/Scala Developer 	Віддаленаробота,Україна	$1000	2	Pre-Intermediate	Scala,Java,Spring,Maven,Gradle,Sbt,Thymeleaf,EclipseLink,Git,RESTAPI,SpringBoot,Vue.js,Log4j,Mockito,TypeScript,PostgreSQL
Backend Engineer 	Київ	$5000	5	Advanced/Fluent	Cassandra,PostgreSQL,Scala,Functionalprogramming,Golang,Kafka,Redis,AWS,Git,MongoDB,Sbt,SQL,Docker,RESTAPI,Akka
junior Scala developer 	Віддаленаробота,Росія	$600	5	Upper	Scala,SQL,Linux,Git,Java,Spring,Sbt,HTML,CSS,Functionalprogramming,JSON,RESTAPI,Python
Scala dev 	Харків	$4500	4	Intermediate	Scala,Akka,Functionalprogramming,Git,Sbt,PostgreSQL,PlayFramework,SoftwareDevelopment,REST,AkkaHTTP,cqrs,grpc,AkkaPersistence,Slick,Circe,Cats
Software Engineer 	Київ	$4000	4	Advanced/Fluent	Scala,Java,MongoDB,PostgreSQL,Functionalprogramming,RabbitMQ,RESTAPI,Git,Akka,Sbt,AWS,PlayFramework,JSON,Cats,Redis,SQL,Spark,Kafka,Docker,Shapeless,ClickHouse,Elixir,Phoenix,NoSQL,GraphQL,AkkaActors,AkkaHTTP,AkkaStreams
junior java developer 	Київ	$400	2019	Upper	Java,Spring,Hibernate,Maven,Git,SQL,JUnit,JPA,RESTAPI,DesignPatterns,OOP,REST,Linux,Gradle,SpringCore,SpringMVC,Vue.js,Angular
Java Developer 	Дніпро	$2000	4	Intermediate	CSS,CSS3,Git,HTML,HTML5,Java,JavaCore,JavaEE,SVN,jQuery,Nginx,Spring,SpringMVC,Angular.js,Apache,Hibernate,JavaScript,JDBC,Jira,Maven,Node.js,OOP,PostgreSQL,SCSS,SQL,JUnit,TestNG,NoSQL,Scala,Linux,SpringBoot,MongoDB,MySQL,Docker,RESTAPI,REST,AWS,Microservices
Full stack java scala developer 	Львів	$3500	6	Intermediate	PostgreSQL,Java,Scala,JavaScript,PlayFramework,ReactJS,Docker,RESTAPI,Akka
Senior Java Developer 	Харків	$4000	4	Upper	Java,Scala,Microservices,REST,Akka,SQL,Docker,JavaScript,SpringBoot,JUnit,Git,OOP,Functionalprogramming,DesignPatterns,Concurrency
Senior Software Engineer 	Київ	$4000	4	Intermediate	Hibernate,JDBC,JPA,JSP,RESTAPI,Spring,SpringMVC,Tomcat,Git,Glassfish,JavaEE,Maven,PostgreSQL,SpringBoot,JUnit,Servlets,ActiveMQ,RabbitMQ,JMS,SpringDataJPA,Frameworks:SpringBoot,CI/CD,Microservices,REST,Mockito,Java,SQL,Jira,Jenkins,Oracle
Data/Machine Learning Engineer 	Київ,Львів,Одеса	$5600	7	Upper	Scala,Erlang,PostgreSQL,Cassandra,Spark,ClickHouse,SQL,Functionalprogramming,Python
Java/Scala developer 	Віддаленаробота,Киргизстан	$2500	8	Intermediate	Java,Java8,DB2,Gradle,Hazelcast,JOOQ,Linux,PostgreSQL,Redis,Spring,SpringBoot,JavaEE,Jenkins,Scala,Erlang,JavaScript,Rust,Akka,Kafka,Functionalprogramming
Scala Software Engineer 	Віддаленаробота,Україна	$3300	4	Intermediate	Scala,Java,Akka,AkkaHTTP,Functionalprogramming,OOP,MySQL,Cassandra,Redis,Cats,ZIO,Doobie,http4s,Git,Sbt,Docker,AWS,JavaScript,TypeScript
Senior R&amp;D Engineer 	Київ	$5000	7	Intermediate	Haskell,Functionalprogramming,Scala,Linux,Coq,OCaml
Scala Developer 	Київ	$4300	6	Upper	Scala,Cats,Cats-effect,Shapeless,Functionalprogramming,Hadoop,Spark,Hive,Cassandra,Oracle,Sbt,Git,ScalaTest,Mockito,Akka,Agile
